name,code,y2017,y2016,y2015,y2014,y2013,y2012,y2011,y2010,y2009,y2008,y2007,y2006,y2005,y2004,y2003,y2002,y2001,y2000,y1999
北京市,110000,5129.81,5070.0,4605.0,4608.0,4794.68,5149.0,5416.0,5044.61,4356.68,4459.13,4580,4026.3,3618.91,3173.43,1903.54,3115,2945.99,2768.0,2496
天津市,120000,3751.47,3556.87,3298.11,2992.1,2591.28,2226.41,1755.53,1419.51,1182.64,1001.39,779,625.9,509.01,412.53,329.47,342,280.17,231.76,209
河北省,130000,578.69,552.41,501.91,534.19,585.78,544.94,447.65,350.71,307.81,273.95,309,243.1,209.17,190.42,84.6,167,156.61,141.9,124
山西省,140000,350.14,317.38,297.1,280.73,822.68,720.24,567.19,464.6,377.94,300.65,222,164.2,116.22,81.23,36.27,75,59.47,49.91,43
内蒙古自治区,150000,1245.56,1139.03,962.49,1002.96,962.29,771.96,670.97,601.9,558.31,577.19,545,403.7,352.07,253.3,138.45,149,137.4,126.45,120
辽宁省,210000,1778.06,1823.92,1636.5,1618.0,3477.14,3263.69,2713.14,2259.33,1856.21,1526.18,1228,934.3,737.77,612.81,454.1,550,463.03,382.65,304
吉林省,220000,765.79,791.21,724.14,583.9,552.37,494.77,385.28,304.92,242.94,211.44,179,137.2,119.52,96.0,66.39,86,75.79,58.04,45
黑龙江省,230000,479.58,458.05,395.33,563.56,604.36,835.48,917.62,762.5,638.68,869.95,643,492.0,340.43,302.15,243.64,297,249.9,189.05,148
上海市,310000,6698.65,6419.2,5860.44,5601.85,5244.7,5493.23,5751.18,6340.92,4744.02,4971.72,4673,3903.9,3555.88,3041.24,2052.66,2275,1807.71,1612.67,1364
江苏省,320000,4194.72,3803.62,3527.29,3032.71,2379.89,6299.72,5652.97,4783.43,4016.01,3880.2,3469,2786.64,2259.74,1763.44,1131.87,1050,822.02,723.84,620
浙江省,330000,3586.44,3127.59,6788.47,5753.48,5392.93,5151.74,4541.73,3930.2,3223.58,3024.08,2708,2132.7,1716.26,1300.47,872.5,928,698.89,513.97,410
安徽省,340000,2880.78,2542.36,2262.87,1840.26,1660.42,1562.67,1179.18,708.98,565.84,454.45,344,226.73,185.58,140.69,83.41,124,105.68,86.21,67
福建省,350000,7588.03,6625.69,5561.4,4911.8,4573.38,4225.67,3634.44,2978.24,2599.23,2393.53,2169,1471.1,1305.29,1065.07,914.87,1100,942.02,893.82,725
江西省,360000,629.92,584.54,567.0,556.87,525.08,484.73,415.0,346.03,289.75,251.7,196,139.61,103.95,79.76,47.46,72,70.3,62.34,50
山东省,370000,3174.04,3063.42,2896.48,2330.1,2731.2,2923.65,2550.76,2155.04,1765.3,1391.1,1352,1014.05,780.23,566.55,370.13,472,382.41,315.13,265
河南省,410000,661.55,646.5,623.6,538.37,659.98,611.41,549.03,498.77,433.03,374.44,318,273.76,216.04,160.01,63.44,145,133.36,123.9,114
湖北省,420000,2104.74,1872.39,1671.9,1238.51,1218.92,1202.97,940.18,751.16,510.2,442.55,413,320.0,276.36,192.4,136.27,284,200.75,145.72,105
湖南省,430000,1295.37,1004.57,857.72,799.99,822.69,928.36,1014.34,906.22,672.7,617.42,642,503.36,390.24,313.08,45.77,311,270.7,220.78,185
广东省,440000,19960.4,18577.13,17884.66,17106.36,16278.07,15610.67,13906.19,12382.61,10028.13,9174.98,8706,7532.79,6388.05,5378.21,4266.93,5091,4483.51,4112.21,3272
广西壮族自治区,450000,2395.63,2164.27,1916.86,1572.07,1547.3,1278.87,1051.88,806.15,643.34,601.66,577,423.12,358.93,287.91,164.34,321,300.63,306.61,202
海南省,460000,681.02,349.89,248.52,268.63,337.48,348.02,376.15,322.36,276.66,313.88,302,229.12,128.46,81.6,79.57,92,106.02,108.83,105
重庆市,500000,1947.59,1686.82,1468.57,1354.44,1268.31,1168.32,968.06,703.2,537.21,449.78,382,308.72,264.36,203.08,113.23,218,163.41,138.4,97
四川省,510000,1446.54,1581.68,1180.87,857.68,764.76,798.15,593.83,354.09,288.56,153.88,512,395.23,315.95,288.85,149.59,200,165.79,121.87,97
贵州省,520000,283.27,252.71,231.33,188.8,201.43,168.94,135.07,129.58,110.44,116.97,129,115.16,101.41,80.2,28.94,80,68.73,60.92,55
云南省,530000,3550.33,3074.77,2875.5,2420.65,2418.18,1947.08,1608.61,1323.65,1172.21,1007.55,860,658.44,528.01,422.45,340.14,419,367.01,339.02,350
西藏自治区,540000,197.51,194.39,176.66,144.69,127.86,105.7,129.63,103.59,78.73,31.12,135,60.94,44.43,36.6,18.91,52,46.38,52.26,36
陕西省,610000,2704.4,2338.55,2000.22,1768.73,1676.19,1597.47,1295.05,1015.96,771.07,660.11,612,510.87,446.25,361.36,198.43,351,308.71,280.25,272
甘肃省,620000,20.86,19.14,14.18,10.17,20.39,22.35,17.4,14.81,12.54,16.03,70,62.93,58.76,43.79,21.17,54,44.81,54.63,37
青海省,630000,38.29,44.16,38.76,24.74,19.42,24.32,26.59,20.45,15.42,10.15,16,13.25,11.02,9.12,4.73,10,9.02,7.2,4
宁夏回族自治区,640000,37.63,40.58,20.84,18.48,12.08,5.45,6.2,5.99,4.43,3.01,3,2.43,2.3,1.71,0.84,2,2.73,2.72,2
新疆维吾尔自治区,650000,810.81,518.73,555.89,497.04,585.02,550.57,465.19,185.42,136.63,135.78,162,128.0,100.09,91.08,48.58,99,98.56,94.94,86
