index,name,朋友圈加权,留言加权,广告加权,虾神点赞
01,锅醋姜就是我,0,2,1,0
02,蔚蓝天空,0,12,1,0
03,XYQ,0,111,1,0
04,Hi~我是蘇小美,0,0,1,0
05,LS,0,2,1,0
06,HelloWorld,0,0,1,0
07,Yang,0,2,1,0
08,壳乐乐,0,1,1,0
09,R,27,2,1,0
10,浩阳,24,2,1,1
11,Lilly An,20,2,1,0
12,孙宇,76,2,1,0
13,Pz,0,0,1,0
14,默溪,9,1,1,1
15,Pursuit,88,5,1,1
16,A^Hundred^Flowers ,23,1,1,0
17,夏天,14,0,0,0
18,蓝袜子-UP ,6,1,0,1
19,ChercherᝰACE,20,1,1,0
20,柳好肥,36,1,1,0
21,会跳舞的文艺青年,70,0,1,1
22,HYL-GISer,7,3,0,1
23,其实，不懂你,85,1,0,0
24,白桃大魔王,0,36,0,0
25,CityDast,0,14,0,0
26,筱䓉^_^薇諒 ,0,11,0,0
27,周浩,0,6,0,0
28,Berton,0,4,0,0
29,阳光的丹尼尔,0,4,0,0
30,城城,0,2,0,0
31,Mr_wu,0,2,0,0
32,汤鹏,0,2,0,0
33,浩阳,0,2,0,0
34,Snow,0,2,0,0
35,含信,0,2,0,0
36,别来无恙,0,2,0,0
37,郭家乐,0,2,0,0
38,M I AO,0,1,0,0
39,期待灵感的hm啊,0,1,0,0
40,🇭 🇪 🇷 🇴 🇮 🇨,0,1,0,0
41,直到世界的尽头,0,1,0,0
42,HelloWorld,0,1,0,0
43,小昭她哥,0,1,0,0
44,炒饭没了？,0,1,0,0
45,七度十二分,0,1,0,0
46,人海,0,1,0,0
47,兔子州 ,0,1,0,0
48,YYL,0,1,0,0
49,雪落香杉树,0,2,0,0
50,憬,0,1,0,0
51,文献综合征患者,0,1,0,0
52,金喜william,0,1,0,0
53,一一,0,1,0,0
54,虫虫,0,1,0,0
55,Bing,0,1,0,0
56,、Fresh,0,1,0,0
57,轩仔,0,1,0,0
